epoch,reward,precision
0,99.6713,20.55
10,99.7074,20.55
20,99.7318,19.95
30,99.7488,20.8
40,99.7612,28.05
50,99.7704,35.1
60,99.7774,57.8
70,99.7829,63.6
80,99.7873,65.8
90,99.7908,68.15
100,99.7938,69.9
110,99.7962,71.6
120,99.7983,73.1
130,99.8001,74.3
140,99.8017,75.55
150,99.8031,76.2
160,99.8043,76.85
170,99.8054,77.25
180,99.8064,77.45
190,99.8073,77.75
200,99.8081,77.9
210,99.8088,78.1
220,99.8095,78.15
230,99.8101,78.25
240,99.8106,78.4
250,99.8111,78.65
260,99.8116,78.75
270,99.8121,78.8
280,99.8125,78.95
290,99.8129,79.1
300,99.8132,79.15
310,99.8135,79.2
320,99.8138,79.2
330,99.8141,79.2
340,99.8143,79.25
350,99.8146,79.35
360,99.8148,79.35
370,99.815,79.35
380,99.8152,79.35
390,99.8153,79.35
400,99.8155,79.35
410,99.8156,79.4
420,99.8157,79.4
430,99.8158,79.4
440,99.8159,79.4
450,99.816,79.45
460,99.8161,79.45
470,99.8161,79.45
480,99.8162,79.45
490,99.8162,79.45
500,99.8162,79.45
510,99.8162,79.45
520,99.8163,79.45
530,99.8163,79.45
540,99.8162,79.45
550,99.8162,79.45
560,99.8162,79.45
570,99.8162,79.45
580,99.8161,79.45
590,99.8161,79.45
600,99.816,79.45
610,99.8159,79.45
620,99.8159,79.45
630,99.8158,79.45
640,99.8157,79.45
650,99.8156,79.45
660,99.8155,79.45
670,99.8154,79.45
680,99.8153,79.45
690,99.8152,79.45
700,99.8151,79.45
710,99.815,79.45
720,99.8149,79.45
730,99.8147,79.45
740,99.8146,79.45
750,99.8145,79.45
760,99.8143,79.45
770,99.8142,79.45
780,99.814,79.45
790,99.8139,79.45
800,99.8137,79.45
810,99.8136,79.45
820,99.8134,79.45
830,99.8132,79.45
840,99.8131,79.45
850,99.8129,79.45
860,99.8127,79.45
870,99.8126,79.45
880,99.8124,79.45
890,99.8122,79.45
900,99.812,79.4
910,99.8118,79.4
920,99.8117,79.4
930,99.8115,79.4
940,99.8113,79.4
950,99.8111,79.4
960,99.8109,79.4
970,99.8107,79.35
980,99.8105,79.35
990,99.8103,79.35
